,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
130,Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,219,119,3,223,24.0,11.04,0
131,Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,219,119,2,223,24.0,11.04,0
132,Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,219,118,1,223,12.0,11.14,0
133,Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,215,117,0,223,16.0,11.03,0
355,Punjab Kings,Punjab Kings,Chandigarh,231,119,3,241,60.0,11.65,0
356,Punjab Kings,Punjab Kings,Chandigarh,231,118,2,241,30.0,11.75,0
357,Punjab Kings,Punjab Kings,Chandigarh,230,117,1,241,22.0,11.79,0
358,Punjab Kings,Punjab Kings,Chandigarh,230,116,0,241,16.5,11.9,0
595,Delhi Capitals,Delhi Capitals,Delhi,130,125,9,130,-0.0,6.24,0
596,Delhi Capitals,Delhi Capitals,Delhi,130,124,8,130,-0.0,6.29,0
597,Delhi Capitals,Delhi Capitals,Delhi,130,123,7,130,-0.0,6.34,0
598,Delhi Capitals,Delhi Capitals,Delhi,130,122,6,130,-0.0,6.39,0
601,Delhi Capitals,Delhi Capitals,Delhi,118,119,3,130,72.0,5.95,0
602,Delhi Capitals,Delhi Capitals,Delhi,114,118,2,130,48.0,5.8,0
603,Delhi Capitals,Delhi Capitals,Delhi,110,117,1,130,40.0,5.64,0
604,Delhi Capitals,Delhi Capitals,Delhi,110,116,0,130,30.0,5.69,0
815,Royal Challengers Bangalore,Mumbai Indians,Mumbai,166,125,9,166,-0.0,7.97,1
821,Royal Challengers Bangalore,Mumbai Indians,Mumbai,156,119,3,166,60.0,7.87,1
822,Royal Challengers Bangalore,Mumbai Indians,Mumbai,156,118,2,166,30.0,7.93,1
823,Royal Challengers Bangalore,Mumbai Indians,Mumbai,156,117,1,166,20.0,8.0,1
824,Royal Challengers Bangalore,Mumbai Indians,Mumbai,156,116,0,166,15.0,8.07,1
1062,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,105,119,3,111,36.0,5.29,1
1063,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,105,118,2,111,18.0,5.34,1
1064,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,105,117,1,111,12.0,5.38,1
1065,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,103,116,0,111,12.0,5.33,1
1300,Rajasthan Royals,Punjab Kings,Jaipur,167,125,9,167,-0.0,8.02,1
1306,Rajasthan Royals,Punjab Kings,Jaipur,161,119,3,167,36.0,8.12,1
1307,Rajasthan Royals,Punjab Kings,Jaipur,161,119,2,167,36.0,8.12,1
1308,Rajasthan Royals,Punjab Kings,Jaipur,160,118,1,167,21.0,8.14,1
1309,Rajasthan Royals,Punjab Kings,Jaipur,160,117,0,167,14.0,8.21,1
1547,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,135,119,3,143,48.0,6.81,0
1548,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,131,118,2,143,36.0,6.66,0
1549,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,130,117,1,143,26.0,6.67,0
1550,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,126,116,0,143,25.5,6.52,0
1751,Mumbai Indians,Chennai Super Kings,Chennai,209,125,9,209,-0.0,10.03,0
1757,Mumbai Indians,Chennai Super Kings,Chennai,200,119,3,209,54.0,10.08,0
1758,Mumbai Indians,Chennai Super Kings,Chennai,200,118,2,209,27.0,10.17,0
1759,Mumbai Indians,Chennai Super Kings,Chennai,196,119,1,209,78.0,9.88,0
1760,Mumbai Indians,Chennai Super Kings,Chennai,196,118,0,209,39.0,9.97,0
2005,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,215,125,9,215,-0.0,10.32,1
2006,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,215,124,8,215,-0.0,10.4,1
2011,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,204,119,3,215,66.0,10.29,1
2012,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,204,118,2,215,33.0,10.37,1
2013,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,202,117,1,215,26.0,10.36,1
2014,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,201,116,0,215,21.0,10.4,1
2251,Mumbai Indians,Punjab Kings,Chandigarh,183,125,9,183,-0.0,8.78,0
2257,Mumbai Indians,Punjab Kings,Chandigarh,180,119,3,183,18.0,9.08,0
2258,Mumbai Indians,Punjab Kings,Chandigarh,174,118,2,183,27.0,8.85,0
2259,Mumbai Indians,Punjab Kings,Chandigarh,174,117,1,183,18.0,8.92,0
2260,Mumbai Indians,Punjab Kings,Chandigarh,174,116,0,183,13.5,9.0,0
2501,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,136,125,9,136,-0.0,6.53,1
2507,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,126,119,3,136,60.0,6.35,1
2508,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,122,118,2,136,42.0,6.2,1
2509,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,122,117,1,136,28.0,6.26,1
2510,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,122,116,0,136,21.0,6.31,1
2732,Chennai Super Kings,Kolkata Knight Riders,Chennai,148,125,9,148,-0.0,7.1,1
2733,Chennai Super Kings,Kolkata Knight Riders,Chennai,148,124,8,148,-0.0,7.16,1
2738,Chennai Super Kings,Kolkata Knight Riders,Chennai,143,119,3,148,30.0,7.21,1
2739,Chennai Super Kings,Kolkata Knight Riders,Chennai,143,119,2,148,30.0,7.21,1
2740,Chennai Super Kings,Kolkata Knight Riders,Chennai,142,118,1,148,18.0,7.22,1
2741,Chennai Super Kings,Kolkata Knight Riders,Chennai,142,117,0,148,12.0,7.28,1
2964,Sunrisers Hyderabad,Mumbai Indians,Mumbai,155,125,9,155,-0.0,7.44,0
2970,Sunrisers Hyderabad,Mumbai Indians,Mumbai,144,119,3,155,66.0,7.26,0
2971,Sunrisers Hyderabad,Mumbai Indians,Mumbai,140,118,2,155,45.0,7.12,0
2972,Sunrisers Hyderabad,Mumbai Indians,Mumbai,140,117,1,155,30.0,7.18,0
2973,Sunrisers Hyderabad,Mumbai Indians,Mumbai,139,116,0,155,24.0,7.19,0
3172,Punjab Kings,Punjab Kings,Chandigarh,157,119,3,159,12.0,7.92,0
3173,Punjab Kings,Punjab Kings,Chandigarh,157,118,2,159,6.0,7.98,0
3174,Punjab Kings,Punjab Kings,Chandigarh,155,117,1,159,8.0,7.95,0
3175,Punjab Kings,Punjab Kings,Chandigarh,152,116,0,159,10.5,7.86,0
3418,Royal Challengers Bangalore,Chennai Super Kings,Bangalore,174,119,3,179,30.0,8.77,0
3419,Royal Challengers Bangalore,Chennai Super Kings,Bangalore,173,118,2,179,18.0,8.8,0
3420,Royal Challengers Bangalore,Chennai Super Kings,Bangalore,172,119,1,179,42.0,8.67,0
3421,Royal Challengers Bangalore,Chennai Super Kings,Bangalore,172,118,0,179,21.0,8.75,0
3661,Mumbai Indians,Kolkata Knight Riders,Kolkata,138,125,9,138,-0.0,6.62,1
3667,Mumbai Indians,Kolkata Knight Riders,Kolkata,132,119,3,138,36.0,6.66,1
3668,Mumbai Indians,Kolkata Knight Riders,Kolkata,132,118,2,138,18.0,6.71,1
3669,Mumbai Indians,Kolkata Knight Riders,Kolkata,128,119,1,138,60.0,6.45,1
3670,Mumbai Indians,Kolkata Knight Riders,Kolkata,128,118,0,138,30.0,6.51,1
3901,Royal Challengers Bangalore,Delhi Capitals,Delhi,192,125,9,192,-0.0,9.22,0
3907,Royal Challengers Bangalore,Delhi Capitals,Delhi,185,119,3,192,42.0,9.33,0
3908,Royal Challengers Bangalore,Delhi Capitals,Delhi,185,118,2,192,21.0,9.41,0
3909,Royal Challengers Bangalore,Delhi Capitals,Delhi,181,117,1,192,22.0,9.28,0
3910,Royal Challengers Bangalore,Delhi Capitals,Delhi,180,116,0,192,18.0,9.31,0
4144,Punjab Kings,Sunrisers Hyderabad,Hyderabad,165,125,9,165,-0.0,7.92,0
4150,Punjab Kings,Sunrisers Hyderabad,Hyderabad,154,119,3,165,66.0,7.76,0
4151,Punjab Kings,Sunrisers Hyderabad,Hyderabad,153,118,2,165,36.0,7.78,0
4152,Punjab Kings,Sunrisers Hyderabad,Hyderabad,153,117,1,165,24.0,7.85,0
4153,Punjab Kings,Sunrisers Hyderabad,Hyderabad,153,116,0,165,18.0,7.91,0
4394,Kolkata Knight Riders,Rajasthan Royals,Jaipur,188,119,3,197,54.0,9.48,0
4395,Kolkata Knight Riders,Rajasthan Royals,Jaipur,184,119,2,197,78.0,9.28,0
4396,Kolkata Knight Riders,Rajasthan Royals,Jaipur,183,118,1,197,42.0,9.31,0
4397,Kolkata Knight Riders,Rajasthan Royals,Jaipur,182,117,0,197,30.0,9.33,0
4642,Delhi Capitals,Chennai Super Kings,Chennai,156,119,3,170,84.0,7.87,0
4643,Delhi Capitals,Chennai Super Kings,Chennai,156,118,2,170,42.0,7.93,0
4644,Delhi Capitals,Chennai Super Kings,Chennai,150,117,1,170,40.0,7.69,0
4645,Delhi Capitals,Chennai Super Kings,Chennai,148,116,0,170,33.0,7.66,0
4885,Kolkata Knight Riders,Punjab Kings,Chandigarh,169,119,3,179,60.0,8.52,0
4886,Kolkata Knight Riders,Punjab Kings,Chandigarh,169,119,2,179,60.0,8.52,0
4887,Kolkata Knight Riders,Punjab Kings,Chandigarh,169,118,1,179,30.0,8.59,0
4888,Kolkata Knight Riders,Punjab Kings,Chandigarh,169,117,0,179,20.0,8.67,0
5129,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,150,119,3,157,42.0,7.56,0
5130,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,148,119,2,157,54.0,7.46,0
5131,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,148,118,1,157,27.0,7.53,0
5132,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,148,117,0,157,18.0,7.59,0
5369,Delhi Capitals,Mumbai Indians,Mumbai,163,125,9,163,-0.0,7.82,0
5375,Delhi Capitals,Mumbai Indians,Mumbai,160,119,3,163,18.0,8.07,0
5376,Delhi Capitals,Mumbai Indians,Mumbai,160,118,2,163,9.0,8.14,0
5377,Delhi Capitals,Mumbai Indians,Mumbai,160,117,1,163,6.0,8.21,0
5378,Delhi Capitals,Mumbai Indians,Mumbai,160,116,0,163,4.5,8.28,0
5599,Rajasthan Royals,Chennai Super Kings,Jaipur,110,125,9,110,-0.0,5.28,1
5600,Rajasthan Royals,Chennai Super Kings,Jaipur,110,124,8,110,-0.0,5.32,1
5601,Rajasthan Royals,Chennai Super Kings,Jaipur,110,123,7,110,-0.0,5.37,1
5602,Rajasthan Royals,Chennai Super Kings,Jaipur,110,122,6,110,-0.0,5.41,1
5603,Rajasthan Royals,Chennai Super Kings,Jaipur,110,121,5,110,-0.0,5.45,1
5605,Rajasthan Royals,Chennai Super Kings,Jaipur,106,119,3,110,24.0,5.34,1
5606,Rajasthan Royals,Chennai Super Kings,Jaipur,106,118,2,110,12.0,5.39,1
5607,Rajasthan Royals,Chennai Super Kings,Jaipur,106,117,1,110,8.0,5.44,1
5608,Rajasthan Royals,Chennai Super Kings,Jaipur,106,116,0,110,6.0,5.48,1
5819,Punjab Kings,Royal Challengers Bangalore,Bangalore,117,119,3,127,60.0,5.9,0
5820,Punjab Kings,Royal Challengers Bangalore,Bangalore,116,118,2,127,33.0,5.9,0
5821,Punjab Kings,Royal Challengers Bangalore,Bangalore,116,117,1,127,22.0,5.95,0
5822,Punjab Kings,Royal Challengers Bangalore,Bangalore,115,116,0,127,18.0,5.95,0
6060,Sunrisers Hyderabad,Chennai Super Kings,Chennai,142,119,3,145,18.0,7.16,0
6061,Sunrisers Hyderabad,Chennai Super Kings,Chennai,142,118,2,145,9.0,7.22,0
6062,Sunrisers Hyderabad,Chennai Super Kings,Chennai,142,117,1,145,6.0,7.28,0
6063,Sunrisers Hyderabad,Chennai Super Kings,Chennai,142,116,0,145,4.5,7.34,0
6269,Mumbai Indians,Rajasthan Royals,Mumbai,104,125,9,104,-0.0,4.99,1
6270,Mumbai Indians,Rajasthan Royals,Mumbai,104,124,8,104,-0.0,5.03,1
6271,Mumbai Indians,Rajasthan Royals,Mumbai,104,123,7,104,-0.0,5.07,1
6275,Mumbai Indians,Rajasthan Royals,Mumbai,102,119,3,104,12.0,5.14,1
6276,Mumbai Indians,Rajasthan Royals,Mumbai,102,118,2,104,6.0,5.19,1
6277,Mumbai Indians,Rajasthan Royals,Mumbai,102,119,1,104,12.0,5.14,1
6278,Mumbai Indians,Rajasthan Royals,Mumbai,101,118,0,104,9.0,5.14,1
6500,Chennai Super Kings,Delhi Capitals,Delhi,175,119,3,188,78.0,8.82,1
6501,Chennai Super Kings,Delhi Capitals,Delhi,171,118,2,188,51.0,8.69,1
6502,Chennai Super Kings,Delhi Capitals,Delhi,171,117,1,188,34.0,8.77,1
6503,Chennai Super Kings,Delhi Capitals,Delhi,170,116,0,188,27.0,8.79,1
6717,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,130,125,9,130,-0.0,6.24,0
6718,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,130,124,8,130,-0.0,6.29,0
6719,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,130,123,7,130,-0.0,6.34,0
6720,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,130,122,6,130,-0.0,6.39,0
6721,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,130,121,5,130,-0.0,6.45,0
6723,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,126,119,3,130,24.0,6.35,0
6724,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,126,118,2,130,12.0,6.41,0
6725,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,126,117,1,130,8.0,6.46,0
6726,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,122,116,0,130,12.0,6.31,0
6944,Rajasthan Royals,Sunrisers Hyderabad,Jaipur,131,119,3,141,60.0,6.61,1
6945,Rajasthan Royals,Sunrisers Hyderabad,Jaipur,131,118,2,141,30.0,6.66,1
6946,Rajasthan Royals,Sunrisers Hyderabad,Jaipur,130,117,1,141,22.0,6.67,1
6947,Rajasthan Royals,Sunrisers Hyderabad,Jaipur,130,116,0,141,16.5,6.72,1
7170,Punjab Kings,Chennai Super Kings,Chennai,182,125,9,182,-0.0,8.74,0
7176,Punjab Kings,Chennai Super Kings,Chennai,168,119,3,182,84.0,8.47,0
7177,Punjab Kings,Chennai Super Kings,Chennai,167,118,2,182,45.0,8.49,0
7178,Punjab Kings,Chennai Super Kings,Chennai,167,117,1,182,30.0,8.56,0
7179,Punjab Kings,Chennai Super Kings,Chennai,166,116,0,182,24.0,8.59,0
7416,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,205,125,9,205,-0.0,9.84,0
7417,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,205,124,8,205,-0.0,9.92,0
7418,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,205,123,7,205,-0.0,10.0,0
7422,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,200,119,3,205,30.0,10.08,0
7423,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,199,118,2,205,18.0,10.12,0
7424,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,199,117,1,205,12.0,10.21,0
7425,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,199,116,0,205,9.0,10.29,0
7667,Rajasthan Royals,Delhi Capitals,Jaipur,157,125,9,157,-0.0,7.54,1
7668,Rajasthan Royals,Delhi Capitals,Jaipur,157,124,8,157,-0.0,7.6,1
7673,Rajasthan Royals,Delhi Capitals,Jaipur,152,119,3,157,30.0,7.66,1
7674,Rajasthan Royals,Delhi Capitals,Jaipur,150,118,2,157,21.0,7.63,1
7675,Rajasthan Royals,Delhi Capitals,Jaipur,150,117,1,157,14.0,7.69,1
7676,Rajasthan Royals,Delhi Capitals,Jaipur,150,116,0,157,10.5,7.76,1
7919,Punjab Kings,Punjab Kings,Chandigarh,132,119,3,144,72.0,6.66,0
7920,Punjab Kings,Punjab Kings,Chandigarh,132,119,2,144,72.0,6.66,0
7921,Punjab Kings,Punjab Kings,Chandigarh,132,118,1,144,36.0,6.71,0
7922,Punjab Kings,Punjab Kings,Chandigarh,132,117,0,144,24.0,6.77,0
8144,Delhi Capitals,Kolkata Knight Riders,Kolkata,129,119,3,134,30.0,6.5,0
8145,Delhi Capitals,Kolkata Knight Riders,Kolkata,128,119,2,134,36.0,6.45,0
8146,Delhi Capitals,Kolkata Knight Riders,Kolkata,124,118,1,134,30.0,6.31,0
8147,Delhi Capitals,Kolkata Knight Riders,Kolkata,124,117,0,134,20.0,6.36,0
8375,Mumbai Indians,Chennai Super Kings,Mumbai,157,125,9,157,-0.0,7.54,1
8376,Mumbai Indians,Chennai Super Kings,Mumbai,157,124,8,157,-0.0,7.6,1
8381,Mumbai Indians,Chennai Super Kings,Mumbai,149,119,3,157,48.0,7.51,1
8382,Mumbai Indians,Chennai Super Kings,Mumbai,145,118,2,157,36.0,7.37,1
8383,Mumbai Indians,Chennai Super Kings,Mumbai,145,117,1,157,24.0,7.44,1
8384,Mumbai Indians,Chennai Super Kings,Mumbai,145,116,0,157,18.0,7.5,1
8594,Sunrisers Hyderabad,Delhi Capitals,Delhi,195,125,9,195,-0.0,9.36,0
8600,Sunrisers Hyderabad,Delhi Capitals,Delhi,184,119,3,195,66.0,9.28,0
8601,Sunrisers Hyderabad,Delhi Capitals,Delhi,183,118,2,195,36.0,9.31,0
8602,Sunrisers Hyderabad,Delhi Capitals,Delhi,179,117,1,195,32.0,9.18,0
8603,Sunrisers Hyderabad,Delhi Capitals,Delhi,175,116,0,195,30.0,9.05,0
8820,Mumbai Indians,Kolkata Knight Riders,Mumbai,62,119,3,68,36.0,3.13,1
8821,Mumbai Indians,Kolkata Knight Riders,Mumbai,58,119,2,68,60.0,2.92,1
8822,Mumbai Indians,Kolkata Knight Riders,Mumbai,57,118,1,68,33.0,2.9,1
8823,Mumbai Indians,Kolkata Knight Riders,Mumbai,56,117,0,68,24.0,2.87,1
8931,Punjab Kings,Delhi Capitals,Delhi,116,119,3,119,18.0,5.85,0
8932,Punjab Kings,Delhi Capitals,Delhi,115,118,2,119,12.0,5.85,0
8933,Punjab Kings,Delhi Capitals,Delhi,114,117,1,119,10.0,5.85,0
8934,Punjab Kings,Delhi Capitals,Delhi,110,116,0,119,13.5,5.69,0
9102,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,198,125,9,198,-0.0,9.5,0
9103,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,198,124,8,198,-0.0,9.58,0
9104,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,198,123,7,198,-0.0,9.66,0
9105,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,198,122,6,198,-0.0,9.74,0
9106,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,198,121,5,198,-0.0,9.82,0
9108,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,196,119,3,198,12.0,9.88,0
9109,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,196,118,2,198,6.0,9.97,0
9110,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,196,117,1,198,4.0,10.05,0
9111,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,195,116,0,198,4.5,10.09,0
9355,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,179,125,9,179,-0.0,8.59,0
9356,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,179,124,8,179,-0.0,8.66,0
9357,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,179,123,7,179,-0.0,8.73,0
9361,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,173,119,3,179,36.0,8.72,0
9362,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,172,118,2,179,21.0,8.75,0
9363,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,172,117,1,179,14.0,8.82,0
9364,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,172,116,0,179,10.5,8.9,0
9609,Chennai Super Kings,Kolkata Knight Riders,Kolkata,147,119,3,150,18.0,7.41,1
9610,Chennai Super Kings,Kolkata Knight Riders,Kolkata,145,118,2,150,15.0,7.37,1
9611,Chennai Super Kings,Kolkata Knight Riders,Kolkata,145,119,1,150,30.0,7.31,1
9612,Chennai Super Kings,Kolkata Knight Riders,Kolkata,145,118,0,150,15.0,7.37,1
9785,Delhi Capitals,Royal Challengers Bangalore,Bangalore,144,119,3,155,66.0,7.26,0
9786,Delhi Capitals,Royal Challengers Bangalore,Bangalore,140,118,2,155,45.0,7.12,0
9787,Delhi Capitals,Royal Challengers Bangalore,Bangalore,140,117,1,155,30.0,7.18,0
9788,Delhi Capitals,Royal Challengers Bangalore,Bangalore,138,116,0,155,25.5,7.14,0
10012,Rajasthan Royals,Kolkata Knight Riders,Kolkata,148,125,9,148,-0.0,7.1,1
10018,Rajasthan Royals,Kolkata Knight Riders,Kolkata,141,119,3,148,42.0,7.11,1
10019,Rajasthan Royals,Kolkata Knight Riders,Kolkata,137,118,2,148,33.0,6.97,1
10020,Rajasthan Royals,Kolkata Knight Riders,Kolkata,137,117,1,148,22.0,7.03,1
10021,Rajasthan Royals,Kolkata Knight Riders,Kolkata,136,116,0,148,18.0,7.03,1
10244,Mumbai Indians,Punjab Kings,Mumbai,180,119,3,190,60.0,9.08,0
10245,Mumbai Indians,Punjab Kings,Mumbai,180,118,2,190,30.0,9.15,0
10246,Mumbai Indians,Punjab Kings,Mumbai,180,117,1,190,20.0,9.23,0
10247,Mumbai Indians,Punjab Kings,Mumbai,174,119,0,190,96.0,8.77,0
10484,Chennai Super Kings,Royal Challengers Bangalore,Chennai,127,125,9,127,-0.0,6.1,0
10490,Chennai Super Kings,Royal Challengers Bangalore,Chennai,122,119,3,127,30.0,6.15,0
10491,Chennai Super Kings,Royal Challengers Bangalore,Chennai,122,119,2,127,30.0,6.15,0
10492,Chennai Super Kings,Royal Challengers Bangalore,Chennai,122,118,1,127,15.0,6.2,0
10493,Chennai Super Kings,Royal Challengers Bangalore,Chennai,122,117,0,127,10.0,6.26,0
10731,Punjab Kings,Punjab Kings,Chandigarh,176,125,9,176,-0.0,8.45,0
10737,Punjab Kings,Punjab Kings,Chandigarh,162,119,3,176,84.0,8.17,0
10738,Punjab Kings,Punjab Kings,Chandigarh,159,118,2,176,51.0,8.08,0
10739,Punjab Kings,Punjab Kings,Chandigarh,157,117,1,176,38.0,8.05,0
10740,Punjab Kings,Punjab Kings,Chandigarh,157,116,0,176,28.5,8.12,0
10986,Delhi Capitals,Delhi Capitals,Delhi,157,119,3,177,120.0,7.92,0
10987,Delhi Capitals,Delhi Capitals,Delhi,157,118,2,177,60.0,7.98,0
10988,Delhi Capitals,Delhi Capitals,Delhi,153,117,1,177,48.0,7.85,0
10989,Delhi Capitals,Delhi Capitals,Delhi,153,116,0,177,36.0,7.91,0
11222,Chennai Super Kings,Rajasthan Royals,Chennai,212,125,9,212,-0.0,10.18,0
11228,Chennai Super Kings,Rajasthan Royals,Chennai,206,119,3,212,36.0,10.39,0
11229,Chennai Super Kings,Rajasthan Royals,Chennai,205,119,2,212,42.0,10.34,0
11230,Chennai Super Kings,Rajasthan Royals,Chennai,199,118,1,212,39.0,10.12,0
11231,Chennai Super Kings,Rajasthan Royals,Chennai,199,117,0,212,26.0,10.21,0
11474,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,166,125,9,166,-0.0,7.97,1
11475,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,166,124,8,166,-0.0,8.03,1
11476,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,166,123,7,166,-0.0,8.1,1
11480,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,155,119,3,166,66.0,7.82,1
11481,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,154,118,2,166,36.0,7.83,1
11482,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,154,117,1,166,24.0,7.9,1
11483,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,154,116,0,166,18.0,7.97,1
11720,Kolkata Knight Riders,Punjab Kings,Kolkata,165,119,3,175,60.0,8.32,1
11721,Kolkata Knight Riders,Punjab Kings,Kolkata,165,119,2,175,60.0,8.32,1
11722,Kolkata Knight Riders,Punjab Kings,Kolkata,161,118,1,175,42.0,8.19,1
11723,Kolkata Knight Riders,Punjab Kings,Kolkata,161,117,0,175,28.0,8.26,1
11963,Rajasthan Royals,Mumbai Indians,Jaipur,146,125,9,146,-0.0,7.01,1
11964,Rajasthan Royals,Mumbai Indians,Jaipur,146,124,8,146,-0.0,7.06,1
11965,Rajasthan Royals,Mumbai Indians,Jaipur,146,123,7,146,-0.0,7.12,1
11966,Rajasthan Royals,Mumbai Indians,Jaipur,146,122,6,146,-0.0,7.18,1
11967,Rajasthan Royals,Mumbai Indians,Jaipur,146,121,5,146,-0.0,7.24,1
11969,Rajasthan Royals,Mumbai Indians,Jaipur,141,119,3,146,30.0,7.11,1
11970,Rajasthan Royals,Mumbai Indians,Jaipur,141,118,2,146,15.0,7.17,1
11971,Rajasthan Royals,Mumbai Indians,Jaipur,137,117,1,146,18.0,7.03,1
11972,Rajasthan Royals,Mumbai Indians,Jaipur,137,116,0,146,13.5,7.09,1
12221,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,136,119,3,148,72.0,6.86,1
12222,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,136,118,2,148,36.0,6.92,1
12223,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,132,119,1,148,96.0,6.66,1
12224,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,132,118,0,148,48.0,6.71,1
12460,Mumbai Indians,Royal Challengers Bangalore,Bangalore,114,119,3,123,54.0,5.75,1
12461,Mumbai Indians,Royal Challengers Bangalore,Bangalore,113,118,2,123,30.0,5.75,1
12462,Mumbai Indians,Royal Challengers Bangalore,Bangalore,113,117,1,123,20.0,5.79,1
12463,Mumbai Indians,Royal Challengers Bangalore,Bangalore,113,116,0,123,15.0,5.84,1
12680,Rajasthan Royals,Punjab Kings,Chandigarh,222,125,9,222,-0.0,10.66,0
12686,Rajasthan Royals,Punjab Kings,Chandigarh,217,119,3,222,30.0,10.94,0
12687,Rajasthan Royals,Punjab Kings,Chandigarh,217,118,2,222,15.0,11.03,0
12688,Rajasthan Royals,Punjab Kings,Chandigarh,217,117,1,222,10.0,11.13,0
12689,Rajasthan Royals,Punjab Kings,Chandigarh,216,116,0,222,9.0,11.17,0
12930,Delhi Capitals,Delhi Capitals,Mumbai,185,119,3,193,48.0,9.33,0
12931,Delhi Capitals,Delhi Capitals,Mumbai,184,119,2,193,54.0,9.28,0
12932,Delhi Capitals,Delhi Capitals,Mumbai,183,118,1,193,30.0,9.31,0
12933,Delhi Capitals,Delhi Capitals,Mumbai,183,117,0,193,20.0,9.38,0
13146,Chennai Super Kings,Punjab Kings,Mumbai,113,125,9,113,-0.0,5.42,1
13152,Chennai Super Kings,Punjab Kings,Mumbai,102,119,3,113,66.0,5.14,1
13153,Chennai Super Kings,Punjab Kings,Mumbai,101,118,2,113,36.0,5.14,1
13154,Chennai Super Kings,Punjab Kings,Mumbai,101,117,1,113,24.0,5.18,1
13155,Chennai Super Kings,Punjab Kings,Mumbai,100,116,0,113,19.5,5.17,1
