,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
136130,Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,173,125,9,173,-0.0,8.3,1
136131,Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,173,124,8,173,-0.0,8.37,1
136136,Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,163,119,3,173,60.0,8.22,1
136137,Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,159,118,2,173,42.0,8.08,1
136138,Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,155,117,1,173,36.0,7.95,1
136139,Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,151,116,0,173,33.0,7.81,1
136384,Mumbai Indians,Delhi Capitals,Delhi,161,119,3,175,84.0,8.12,0
136385,Mumbai Indians,Delhi Capitals,Delhi,161,118,2,175,42.0,8.19,0
136386,Mumbai Indians,Delhi Capitals,Delhi,161,117,1,175,28.0,8.26,0
136387,Mumbai Indians,Delhi Capitals,Delhi,161,116,0,175,21.0,8.33,0
136630,Chennai Super Kings,Punjab Kings,Pune,151,119,3,154,18.0,7.61,1
136631,Chennai Super Kings,Punjab Kings,Pune,151,118,2,154,9.0,7.68,1
136632,Chennai Super Kings,Punjab Kings,Pune,151,117,1,154,6.0,7.74,1
136633,Chennai Super Kings,Punjab Kings,Pune,150,116,0,154,6.0,7.76,1
136876,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,140,125,9,140,-0.0,6.72,1
136877,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,140,124,8,140,-0.0,6.77,1
136878,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,140,123,7,140,-0.0,6.83,1
136879,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,140,122,6,140,-0.0,6.89,1
136880,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,140,121,5,140,-0.0,6.94,1
136882,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,135,119,3,140,30.0,6.81,1
136883,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,131,118,2,140,27.0,6.66,1
136884,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,127,117,1,140,26.0,6.51,1
136885,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,127,116,0,140,19.5,6.57,1
137126,Rajasthan Royals,Kolkata Knight Riders,Kolkata,161,119,3,170,54.0,8.12,0
137127,Rajasthan Royals,Kolkata Knight Riders,Kolkata,160,118,2,170,30.0,8.14,0
137128,Rajasthan Royals,Kolkata Knight Riders,Kolkata,159,117,1,170,22.0,8.15,0
137129,Rajasthan Royals,Kolkata Knight Riders,Kolkata,155,116,0,170,22.5,8.02,0
137365,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,175,125,9,175,-0.0,8.4,0
137366,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,175,124,8,175,-0.0,8.47,0
137371,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,165,119,3,175,60.0,8.32,0
137372,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,164,118,2,175,33.0,8.34,0
137373,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,163,117,1,175,24.0,8.36,0
137374,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,163,116,0,175,18.0,8.43,0
137613,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,179,125,9,179,-0.0,8.59,1
137614,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,179,124,8,179,-0.0,8.66,1
137615,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,179,123,7,179,-0.0,8.73,1
137616,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,179,122,6,179,-0.0,8.8,1
137617,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,179,121,5,179,-0.0,8.88,1
137619,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,179,119,3,179,0.0,9.03,1
137620,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,175,118,2,179,12.0,8.9,1
137621,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,175,117,1,179,8.0,8.97,1
137622,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,174,116,0,179,7.5,9.0,1
137831,Chennai Super Kings,Royal Challengers Bangalore,Chennai,71,125,9,71,-0.0,3.41,1
137832,Chennai Super Kings,Royal Challengers Bangalore,Chennai,71,124,8,71,-0.0,3.44,1
137833,Chennai Super Kings,Royal Challengers Bangalore,Chennai,71,123,7,71,-0.0,3.46,1
137834,Chennai Super Kings,Royal Challengers Bangalore,Chennai,71,122,6,71,-0.0,3.49,1
137835,Chennai Super Kings,Royal Challengers Bangalore,Chennai,71,121,5,71,-0.0,3.52,1
137837,Chennai Super Kings,Royal Challengers Bangalore,Chennai,71,119,3,71,0.0,3.58,1
137838,Chennai Super Kings,Royal Challengers Bangalore,Chennai,70,118,2,71,3.0,3.56,1
137839,Chennai Super Kings,Royal Challengers Bangalore,Chennai,70,117,1,71,2.0,3.59,1
137840,Chennai Super Kings,Royal Challengers Bangalore,Chennai,70,116,0,71,1.5,3.62,1
138064,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,182,125,9,182,-0.0,8.74,1
138065,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,182,124,8,182,-0.0,8.81,1
138066,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,182,123,7,182,-0.0,8.88,1
138067,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,182,122,6,182,-0.0,8.95,1
138070,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,181,119,3,182,6.0,9.13,1
138071,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,175,118,2,182,21.0,8.9,1
138072,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,175,117,1,182,14.0,8.97,1
